Tên cảm biến,Giá trị,Thời gian
temperature,25.62,2025-04-25 04:03:31
Humidity,52.94,2025-04-25 04:03:31
Illuminance,258,2025-04-25 04:03:31
AtmosphericPressure,1010.147,2025-04-25 04:03:31
Noise,58.56,2025-04-25 04:03:31
eTVOC,97,2025-04-25 04:03:31
eCO2,1041,2025-04-25 04:03:31
DiscomfortIndex,82.84,2025-04-25 04:03:31
HeatstrokeRiskLevel,27.92,2025-04-25 04:03:31
temperature,25.62,2025-04-25 04:03:32
Humidity,52.94,2025-04-25 04:03:32
Illuminance,258,2025-04-25 04:03:32
AtmosphericPressure,1010.147,2025-04-25 04:03:32
Noise,58.56,2025-04-25 04:03:32
eTVOC,97,2025-04-25 04:03:32
eCO2,1041,2025-04-25 04:03:32
DiscomfortIndex,82.84,2025-04-25 04:03:32
HeatstrokeRiskLevel,27.92,2025-04-25 04:03:32
temperature,25.62,2025-04-25 04:03:33
Humidity,52.94,2025-04-25 04:03:33
Illuminance,258,2025-04-25 04:03:33
AtmosphericPressure,1010.147,2025-04-25 04:03:33
Noise,58.56,2025-04-25 04:03:33
eTVOC,97,2025-04-25 04:03:33
eCO2,1041,2025-04-25 04:03:33
DiscomfortIndex,82.84,2025-04-25 04:03:33
HeatstrokeRiskLevel,27.92,2025-04-25 04:03:33
temperature,25.61,2025-04-25 04:03:34
Humidity,53,2025-04-25 04:03:34
Illuminance,262,2025-04-25 04:03:34
AtmosphericPressure,1010.144,2025-04-25 04:03:34
Noise,62.44,2025-04-25 04:03:34
eTVOC,96,2025-04-25 04:03:34
eCO2,1032,2025-04-25 04:03:34
DiscomfortIndex,82.83,2025-04-25 04:03:34
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:34
temperature,25.61,2025-04-25 04:03:35
Humidity,53,2025-04-25 04:03:35
Illuminance,262,2025-04-25 04:03:35
AtmosphericPressure,1010.144,2025-04-25 04:03:35
Noise,62.44,2025-04-25 04:03:35
eTVOC,96,2025-04-25 04:03:35
eCO2,1032,2025-04-25 04:03:35
DiscomfortIndex,82.83,2025-04-25 04:03:35
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:35
temperature,25.61,2025-04-25 04:03:36
Humidity,53,2025-04-25 04:03:36
Illuminance,262,2025-04-25 04:03:36
AtmosphericPressure,1010.144,2025-04-25 04:03:36
Noise,62.44,2025-04-25 04:03:36
eTVOC,96,2025-04-25 04:03:36
eCO2,1032,2025-04-25 04:03:36
DiscomfortIndex,82.83,2025-04-25 04:03:36
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:36
temperature,25.62,2025-04-25 04:03:37
Humidity,53,2025-04-25 04:03:37
Illuminance,262,2025-04-25 04:03:37
AtmosphericPressure,1010.137,2025-04-25 04:03:37
Noise,67.34,2025-04-25 04:03:37
eTVOC,97,2025-04-25 04:03:37
eCO2,1041,2025-04-25 04:03:37
DiscomfortIndex,82.83,2025-04-25 04:03:37
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:37
temperature,25.62,2025-04-25 04:03:38
Humidity,53,2025-04-25 04:03:38
Illuminance,262,2025-04-25 04:03:38
AtmosphericPressure,1010.137,2025-04-25 04:03:38
Noise,67.34,2025-04-25 04:03:38
eTVOC,97,2025-04-25 04:03:38
eCO2,1041,2025-04-25 04:03:38
DiscomfortIndex,82.83,2025-04-25 04:03:38
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:38
temperature,25.62,2025-04-25 04:03:39
Humidity,53,2025-04-25 04:03:39
Illuminance,262,2025-04-25 04:03:39
AtmosphericPressure,1010.137,2025-04-25 04:03:39
Noise,67.34,2025-04-25 04:03:39
eTVOC,97,2025-04-25 04:03:39
eCO2,1041,2025-04-25 04:03:39
DiscomfortIndex,82.83,2025-04-25 04:03:39
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:39
temperature,25.63,2025-04-25 04:03:40
Humidity,52.93,2025-04-25 04:03:40
Illuminance,260,2025-04-25 04:03:40
AtmosphericPressure,1010.139,2025-04-25 04:03:40
Noise,67.11,2025-04-25 04:03:40
eTVOC,97,2025-04-25 04:03:40
eCO2,1041,2025-04-25 04:03:40
DiscomfortIndex,82.82,2025-04-25 04:03:40
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:40
temperature,25.63,2025-04-25 04:03:41
Humidity,52.93,2025-04-25 04:03:41
Illuminance,260,2025-04-25 04:03:41
AtmosphericPressure,1010.139,2025-04-25 04:03:41
Noise,67.11,2025-04-25 04:03:41
eTVOC,97,2025-04-25 04:03:41
eCO2,1041,2025-04-25 04:03:41
DiscomfortIndex,82.82,2025-04-25 04:03:41
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:41
temperature,25.63,2025-04-25 04:03:42
Humidity,52.93,2025-04-25 04:03:42
Illuminance,260,2025-04-25 04:03:42
AtmosphericPressure,1010.139,2025-04-25 04:03:42
Noise,67.11,2025-04-25 04:03:42
eTVOC,97,2025-04-25 04:03:42
eCO2,1041,2025-04-25 04:03:42
DiscomfortIndex,82.82,2025-04-25 04:03:42
HeatstrokeRiskLevel,27.89,2025-04-25 04:03:42
temperature,25.58,2025-04-25 04:03:43
Humidity,53.06,2025-04-25 04:03:43
Illuminance,262,2025-04-25 04:03:43
AtmosphericPressure,1010.136,2025-04-25 04:03:43
Noise,64.55,2025-04-25 04:03:43
eTVOC,97,2025-04-25 04:03:43
eCO2,1041,2025-04-25 04:03:43
